BugName,Notes,TBar-time,TBar-10k,CURE-10k,SequenceR-50,Hercules-NFL,SimFix,fixminer,dlfix,acs,capgen-NFL,PAR,SOFix,PraPR,JAID,SketchFix,LSRepair,ssFix,NPEFix,Ratchet,Codit,AVATAR,CoCoNut,ARJA,GenProg,MutRepair,kPAR,RSRepair,Kali,Dynamoth,Nopol,Cardumen,VFix,iFixR,ConFix,Restore,HDRepair,,,file_no,class_no,method_no,line_no,add_line_no,del_line_no,mod_line_no,chunk_no,fail_test_no,action_no,pattern_no,First exception,add_char_no,del_char_no,node_match,insert_node,delete_node,update_node,move_tree,insert_tree,delete_tree
Clos 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,2,1,4,1,RuntimeException,66,0,1694,7,5,0,8,2,0
Clos 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,13,10,1,2,5,3,9,6,ComparisonFailure,359,36,10917,11,10,1,1,5,1
Clos 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,1,2,2,IllegalStateException,74,33,1662,11,9,0,2,1,0
Clos 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,2,3,3,1,ComparisonFailure,72,0,1489,5,3,0,1,2,0
Clos 57,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,AssertionFailedError,41,5,1404,5,3,0,1,1,0
Clos 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,2,1,2,1,IllegalStateException,80,0,1133,4,2,0,2,2,0
Clos 59,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,1,2,2,AssertionFailedError,87,37,7121,5,3,0,1,1,0
Clos 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,5,5,0,0,3,2,4,2,AssertionFailedError,94,0,10072,7,4,0,1,1,0
Clos 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,6,0,0,1,3,5,2,AssertionFailedError,165,0,10049,4,4,0,0,1,0
Clos 62,,3,3,3,,3,3,,3,,,,,3,3,3,,,,,,3,,,,3,3,,,,,,,,,3,3,,,1,1,1,1,0,0,1,1,2,1,2,ComparisonFailure,2,1,665,0,0,1,0,0,0
Clos 63,same as clos62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,2,1,2,ComparisonFailure,2,1,,,,,,,
Clos 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,0,0,4,4,1,5,1,AssertionFailedError,109,50,6946,7,3,0,1,2,0
Clos 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,2,ComparisonFailure,19,17,4848,2,2,1,0,0,0
Clos 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,0,0,2,2,2,1,AssertionFailedError,25,0,7062,44,44,0,0,1,0
